Date,Id,Nominal,Value,VunitRate
21.01.2022,R01820,100,"66,8510","0,66851"
22.01.2022,R01820,100,"67,3165","0,673165"
25.01.2022,R01820,100,"68,0460","0,68046"
26.01.2022,R01820,100,"69,0844","0,690844"
27.01.2022,R01820,100,"69,2033","0,692033"
28.01.2022,R01820,100,"68,7422","0,687422"
29.01.2022,R01820,100,"67,3423","0,673423"
01.02.2022,R01820,100,"67,1523","0,671523"
02.02.2022,R01820,100,"67,0552","0,670552"
03.02.2022,R01820,100,"66,7786","0,667786"
04.02.2022,R01820,100,"66,8412","0,668412"
05.02.2022,R01820,100,"66,0766","0,660766"
08.02.2022,R01820,100,"65,7378","0,657378"
09.02.2022,R01820,100,"65,2691","0,652691"
10.02.2022,R01820,100,"64,8446","0,648446"
11.02.2022,R01820,100,"64,6402","0,646402"
12.02.2022,R01820,100,"64,6326","0,646326"
15.02.2022,R01820,100,"66,4782","0,664782"
16.02.2022,R01820,100,"65,9246","0,659246"
17.02.2022,R01820,100,"64,8098","0,648098"
18.02.2022,R01820,100,"65,8061","0,658061"
19.02.2022,R01820,100,"65,7912","0,657912"
22.02.2022,R01820,100,"66,7859","0,667859"
23.02.2022,R01820,100,"70,0182","0,700182"
25.02.2022,R01820,100,"75,7582","0,757582"
26.02.2022,R01820,100,"72,4776","0,724776"
01.03.2022,R01820,100,"80,9718","0,809718"
02.03.2022,R01820,100,"79,7962","0,797962"
03.03.2022,R01820,100,"89,6062","0,896062"
04.03.2022,R01820,100,"96,5290","0,96529"
05.03.2022,R01820,100,"91,6402","0,916402"
06.03.2022,R01820,100,"92,1751","0,921751"
10.03.2022,R01820,10,"10,0532","1,00532"
11.03.2022,R01820,10,"10,3922","1,03922"
12.03.2022,R01820,10,"10,0791","1,00791"
15.03.2022,R01820,100,"99,4486","0,994486"
16.03.2022,R01820,100,"94,4845","0,944845"
17.03.2022,R01820,100,"91,3567","0,913567"
18.03.2022,R01820,100,"88,2128","0,882128"
19.03.2022,R01820,100,"87,0878","0,870878"
22.03.2022,R01820,100,"87,8278","0,878278"
23.03.2022,R01820,100,"86,2790","0,86279"
24.03.2022,R01820,100,"85,4731","0,854731"
25.03.2022,R01820,100,"78,8068","0,788068"
